close,rec_date,volume,name,symbol
89.4800033600,2017-05-22,1343300,AmerisourceBergen Corporation,ABC
89.1900024400,2017-05-23,1709800,AmerisourceBergen Corporation,ABC
89.9700012200,2017-05-24,1260500,AmerisourceBergen Corporation,ABC
91.1100006100,2017-05-25,1047100,AmerisourceBergen Corporation,ABC
91.0000000000,2017-05-26,891900,AmerisourceBergen Corporation,ABC
91.0299987800,2017-05-30,1248400,AmerisourceBergen Corporation,ABC
91.7699966400,2017-05-31,1870200,AmerisourceBergen Corporation,ABC
93.1399993900,2017-06-01,1326900,AmerisourceBergen Corporation,ABC
93.5800018300,2017-06-02,1285000,AmerisourceBergen Corporation,ABC
93.3199996900,2017-06-05,1050800,AmerisourceBergen Corporation,ABC
91.6900024400,2017-06-06,1377400,AmerisourceBergen Corporation,ABC
91.9300003100,2017-06-07,1182800,AmerisourceBergen Corporation,ABC
91.5699996900,2017-06-08,1113600,AmerisourceBergen Corporation,ABC
92.0999984700,2017-06-09,1157100,AmerisourceBergen Corporation,ABC
92.3600006100,2017-06-12,816500,AmerisourceBergen Corporation,ABC
93.0000000000,2017-06-13,636400,AmerisourceBergen Corporation,ABC
93.9000015300,2017-06-14,901900,AmerisourceBergen Corporation,ABC
94.4300003100,2017-06-15,1733300,AmerisourceBergen Corporation,ABC
92.5299987800,2017-06-16,1880600,AmerisourceBergen Corporation,ABC
93.7500000000,2017-06-19,1072900,AmerisourceBergen Corporation,ABC
93.2500000000,2017-06-20,1089100,AmerisourceBergen Corporation,ABC
95.6200027500,2017-06-21,1092700,AmerisourceBergen Corporation,ABC
96.3700027500,2017-06-22,1730000,AmerisourceBergen Corporation,ABC
95.8199996900,2017-06-23,1624100,AmerisourceBergen Corporation,ABC
95.9899978600,2017-06-26,1171100,AmerisourceBergen Corporation,ABC
95.5299987800,2017-06-27,1253100,AmerisourceBergen Corporation,ABC
96.3799972500,2017-06-28,897600,AmerisourceBergen Corporation,ABC
95.7600021400,2017-06-29,1053300,AmerisourceBergen Corporation,ABC
94.5299987800,2017-06-30,1236100,AmerisourceBergen Corporation,ABC
94.6999969500,2017-07-03,527400,AmerisourceBergen Corporation,ABC
95.2200012200,2017-07-05,908900,AmerisourceBergen Corporation,ABC
92.5100021400,2017-07-06,951100,AmerisourceBergen Corporation,ABC
93.9100036600,2017-07-07,1158700,AmerisourceBergen Corporation,ABC
92.4899978600,2017-07-10,1255300,AmerisourceBergen Corporation,ABC
92.1800003100,2017-07-11,911500,AmerisourceBergen Corporation,ABC
93.2099990800,2017-07-12,655100,AmerisourceBergen Corporation,ABC
92.8600006100,2017-07-13,788800,AmerisourceBergen Corporation,ABC
92.9599990800,2017-07-14,859000,AmerisourceBergen Corporation,ABC
92.7099990800,2017-07-17,1017700,AmerisourceBergen Corporation,ABC
91.3700027500,2017-07-18,1299300,AmerisourceBergen Corporation,ABC
91.1699981700,2017-07-19,1331600,AmerisourceBergen Corporation,ABC
91.9499969500,2017-07-20,1136400,AmerisourceBergen Corporation,ABC
91.6200027500,2017-07-21,604400,AmerisourceBergen Corporation,ABC
93.1299972500,2017-07-24,1273700,AmerisourceBergen Corporation,ABC
94.6500015300,2017-07-25,1413500,AmerisourceBergen Corporation,ABC
94.2099990800,2017-07-26,1366100,AmerisourceBergen Corporation,ABC
92.7799987800,2017-07-27,1493300,AmerisourceBergen Corporation,ABC
93.9700012200,2017-07-28,869200,AmerisourceBergen Corporation,ABC
93.8199996900,2017-07-31,1062100,AmerisourceBergen Corporation,ABC
92.9800033600,2017-08-01,1256100,AmerisourceBergen Corporation,ABC
91.2699966400,2017-08-02,2300500,AmerisourceBergen Corporation,ABC
81.7099990800,2017-08-03,7434700,AmerisourceBergen Corporation,ABC
80.8300018300,2017-08-04,2882900,AmerisourceBergen Corporation,ABC
80.5800018300,2017-08-07,2287100,AmerisourceBergen Corporation,ABC
80.3300018300,2017-08-08,1742000,AmerisourceBergen Corporation,ABC
79.8000030500,2017-08-09,2620100,AmerisourceBergen Corporation,ABC
78.8799972500,2017-08-10,2417100,AmerisourceBergen Corporation,ABC
80.0199966400,2017-08-11,2214800,AmerisourceBergen Corporation,ABC
80.0800018300,2017-08-14,2032900,AmerisourceBergen Corporation,ABC
80.0000000000,2017-08-15,2126700,AmerisourceBergen Corporation,ABC
80.0299987800,2017-08-16,1599800,AmerisourceBergen Corporation,ABC
79.9400024400,2017-08-17,1727400,AmerisourceBergen Corporation,ABC
78.5999984700,2017-08-18,2091900,AmerisourceBergen Corporation,ABC
78.0400009200,2017-08-21,1455100,AmerisourceBergen Corporation,ABC
